corpus,comparison,ratio_sum_mean_latency,sampling_CI95_low,sampling_CI95_high,unique_recordings,repeats_per_recording,draws,interpretation
TEST,Global/Conf,1.0364927092932137,1.0303873409216338,1.0426315995729418,100,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
TEST,Text+Global/Text,1.0437872357762141,1.037290537522615,1.0500090495570213,100,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
TEST,Conf/B5,1.9228947233676208,1.910459303566152,1.9354338840208414,100,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
CV27,Global/Conf,1.097082047967666,1.0901534572376896,1.1042853925305183,100,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
CV27,Text+Global/Text,1.0848024067248458,1.0781593349223673,1.0917967725456708,100,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
CV27,Conf/B5,1.949340486736191,1.936392301911757,1.962458629595676,100,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
POOLED,Global/Conf,1.0539210260531606,1.049020317920612,1.0589401974858608,200,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
POOLED,Text+Global/Text,1.0555779372411176,1.0503955100347444,1.0605513523678618,200,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
POOLED,Conf/B5,1.9304279534989794,1.9207454662657064,1.939994100673214,200,3,10000,"Descriptive sampling interval for fixed balanced recording mix and observed shared load; not simultaneous, not load-process uncertainty or deployment SLA"
