split,seed,strategy,lang,S,D,I,N,records,WER,label
TEST,101,ConfDupClean,it,1106,285,128,20701,865,7.337809767644075,POST_REVIEW_DIAGNOSTIC
TEST,101,ConfPerm,it,1090,291,124,20701,865,7.2701801845321485,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Conf,it,1117,295,121,20701,865,7.405439350756002,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Global,it,1093,296,122,20701,865,7.299164291580117,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text,it,997,286,116,20701,865,6.7581276266847015,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text+Global,it,985,289,116,20701,865,6.714651466112748,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Conf,it,1108,261,156,20701,865,7.366793874692044,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Global,it,1084,255,163,20701,865,7.255688131008164,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text,it,944,234,132,20701,865,6.328196705473165,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text+Global,it,949,232,137,20701,865,6.366842181537124,POST_REVIEW_DIAGNOSTIC
TEST,202,Conf,ar,1898,136,196,8007,428,27.850630698139128,EXACT_REUSE
TEST,202,Global,ar,1891,136,197,8007,428,27.775696265767454,EXACT_REUSE
TEST,202,Text,ar,1798,134,191,8007,428,26.514299987510928,EXACT_REUSE
TEST,202,Text+Global,ar,1796,133,191,8007,428,26.47683277132509,EXACT_REUSE
TEST,202,ConfDupClean,ar,1898,136,196,8007,428,27.850630698139128,POST_REVIEW_DIAGNOSTIC
TEST,202,ConfPerm,ar,1891,136,197,8007,428,27.775696265767454,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Conf,ar,1893,138,194,8007,428,27.7881853378294,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Global,ar,1886,137,194,8007,428,27.688272761333835,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text,ar,1810,138,191,8007,428,26.71412514050206,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text+Global,ar,1804,136,191,8007,428,26.614212564006493,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Conf,ar,1872,132,197,8007,428,27.4884476083427,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Global,ar,1853,127,200,8007,428,27.226177095041837,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text,ar,1749,126,196,8007,428,25.864868240289745,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text+Global,ar,1754,123,195,8007,428,25.87735731235169,POST_REVIEW_DIAGNOSTIC
TEST,202,Conf,fa,5019,768,645,20113,871,31.979316859742454,EXACT_REUSE
TEST,202,Global,fa,5004,773,641,20113,871,31.90971013772187,EXACT_REUSE
TEST,202,Text,fa,4804,766,637,20113,871,30.86063739869736,EXACT_REUSE
TEST,202,Text+Global,fa,4794,764,638,20113,871,30.805946402824045,EXACT_REUSE
TEST,202,ConfDupClean,fa,5019,768,645,20113,871,31.979316859742454,POST_REVIEW_DIAGNOSTIC
TEST,202,ConfPerm,fa,5004,773,641,20113,871,31.90971013772187,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Conf,fa,5025,774,641,20113,871,32.019092129468504,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Global,fa,5013,779,637,20113,871,31.96440113359519,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text,fa,4823,766,638,20113,871,30.960075573012478,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text+Global,fa,4816,766,638,20113,871,30.925272212002188,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Conf,fa,5019,729,686,20113,871,31.989260677173966,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Global,fa,5008,726,683,20113,871,31.904738229006117,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text,fa,4760,703,663,20113,871,30.457912792721125,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text+Global,fa,4760,698,658,20113,871,30.408193705563566,POST_REVIEW_DIAGNOSTIC
TEST,202,Conf,pl,1785,237,179,14380,758,15.305980528511823,EXACT_REUSE
TEST,202,Global,pl,1761,240,175,14380,758,15.132127955493742,EXACT_REUSE
TEST,202,Text,pl,1654,229,158,14380,758,14.193324061196106,EXACT_REUSE
TEST,202,Text+Global,pl,1643,228,160,14380,758,14.123783031988873,EXACT_REUSE
TEST,202,ConfDupClean,pl,1785,237,179,14380,758,15.305980528511823,POST_REVIEW_DIAGNOSTIC
TEST,202,ConfPerm,pl,1761,240,175,14380,758,15.132127955493742,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Conf,pl,1788,240,172,14380,758,15.299026425591098,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Global,pl,1757,243,173,14380,758,15.111265646731571,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text,pl,1656,233,161,14380,758,14.255910987482615,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text+Global,pl,1651,235,160,14380,758,14.228094575799721,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Conf,pl,1768,210,204,14380,758,15.173852573018081,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Global,pl,1730,204,204,14380,758,14.867872044506258,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text,pl,1603,200,173,14380,758,13.741307371349096,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text+Global,pl,1608,196,174,14380,758,13.755215577190542,POST_REVIEW_DIAGNOSTIC
TEST,202,Conf,tr,1448,165,137,12963,743,13.499961428681633,EXACT_REUSE
TEST,202,Global,tr,1422,168,135,12963,743,13.307104836843322,EXACT_REUSE
TEST,202,Text,tr,1299,159,127,12963,743,12.227107922548793,EXACT_REUSE
TEST,202,Text+Global,tr,1297,161,129,12963,743,12.242536449895857,EXACT_REUSE
TEST,202,ConfDupClean,tr,1448,165,137,12963,743,13.499961428681633,POST_REVIEW_DIAGNOSTIC
TEST,202,ConfPerm,tr,1422,168,135,12963,743,13.307104836843322,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Conf,tr,1452,171,135,12963,743,13.561675538069892,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Global,tr,1425,171,134,12963,743,13.345676155210985,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text,tr,1311,163,127,12963,743,12.35053614132531,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text+Global,tr,1308,165,128,12963,743,12.35053614132531,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Conf,tr,1448,140,155,12963,743,13.445961582966905,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Global,tr,1396,139,153,12963,743,13.021677080922625,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text,tr,1256,136,136,12963,743,11.787394893157447,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text+Global,tr,1258,136,137,12963,743,11.810537684178046,POST_REVIEW_DIAGNOSTIC
TEST,202,Conf,it,1139,281,134,20701,865,7.506883725423893,EXACT_REUSE
TEST,202,Global,it,1098,282,131,20701,865,7.299164291580117,EXACT_REUSE
TEST,202,Text,it,994,269,112,20701,865,6.642191198492826,EXACT_REUSE
TEST,202,Text+Global,it,987,276,112,20701,865,6.642191198492826,EXACT_REUSE
TEST,202,ConfDupClean,it,1139,281,134,20701,865,7.506883725423893,POST_REVIEW_DIAGNOSTIC
TEST,202,ConfPerm,it,1097,282,131,20701,865,7.294333607072122,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Conf,it,1147,288,124,20701,865,7.5310371479638665,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Global,it,1107,292,118,20701,865,7.328148398628086,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text,it,1031,273,112,20701,865,6.8402492633206124,POST_REVIEW_DIAGNOSTIC
TEST,202,A_Text+Global,it,1029,276,114,20701,865,6.8547413168445965,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Conf,it,1128,256,157,20701,865,7.44408482681996,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Global,it,1092,247,152,20701,865,7.202550601420222,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text,it,977,233,134,20701,865,6.492439978744988,POST_REVIEW_DIAGNOSTIC
TEST,202,B_Text+Global,it,973,236,130,20701,865,6.4682865562050145,POST_REVIEW_DIAGNOSTIC
TEST,303,Conf,ar,1854,142,71,8007,428,25.814911952041964,EXACT_REUSE
TEST,303,Global,ar,1840,144,71,8007,428,25.665043087298614,EXACT_REUSE
TEST,303,Text,ar,1749,142,70,8007,428,24.49107031347571,EXACT_REUSE
TEST,303,Text+Global,ar,1747,142,70,8007,428,24.466092169351818,EXACT_REUSE
TEST,303,ConfDupClean,ar,1854,142,71,8007,428,25.814911952041964,POST_REVIEW_DIAGNOSTIC
TEST,303,ConfPerm,ar,1840,144,71,8007,428,25.665043087298614,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Conf,ar,1852,145,71,8007,428,25.82740102410391,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Global,ar,1845,147,71,8007,428,25.76495566379418,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text,ar,1759,142,70,8007,428,24.615961034095168,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text+Global,ar,1753,143,67,8007,428,24.5160484575996,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Conf,ar,1840,139,73,8007,428,25.627575871112775,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Global,ar,1812,139,77,8007,428,25.327838141626078,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text,ar,1720,123,71,8007,428,23.904083926564255,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text+Global,ar,1714,123,72,8007,428,23.841638566254527,POST_REVIEW_DIAGNOSTIC
TEST,303,Conf,fa,5073,761,764,20113,871,32.80465370655795,EXACT_REUSE
TEST,303,Global,fa,5057,763,762,20113,871,32.72510316710585,EXACT_REUSE
TEST,303,Text,fa,4862,754,755,20113,871,31.67603042808134,EXACT_REUSE
TEST,303,Text+Global,fa,4855,757,754,20113,871,31.65117088450256,EXACT_REUSE
TEST,303,ConfDupClean,fa,5073,761,764,20113,871,32.80465370655795,POST_REVIEW_DIAGNOSTIC
TEST,303,ConfPerm,fa,5057,764,762,20113,871,32.73007507582161,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Conf,fa,5073,773,756,20113,871,32.824541341420975,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Global,fa,5053,769,753,20113,871,32.69029980609556,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text,fa,4890,761,754,20113,871,31.845075324417042,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text+Global,fa,4880,763,754,20113,871,31.805300054690996,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Conf,fa,5055,718,804,20113,871,32.70024362352707,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Global,fa,5030,703,806,20113,871,32.51131109232834,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text,fa,4809,723,800,20113,871,31.482125988166857,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text+Global,fa,4807,726,799,20113,871,31.482125988166857,POST_REVIEW_DIAGNOSTIC
TEST,303,Conf,pl,1763,226,183,14380,758,15.104311543810848,EXACT_REUSE
TEST,303,Global,pl,1724,222,176,14380,758,14.756606397774688,EXACT_REUSE
TEST,303,Text,pl,1621,215,162,14380,758,13.894297635605007,EXACT_REUSE
TEST,303,Text+Global,pl,1621,216,163,14380,758,13.908205841446453,EXACT_REUSE
TEST,303,ConfDupClean,pl,1763,226,183,14380,758,15.104311543810848,POST_REVIEW_DIAGNOSTIC
TEST,303,ConfPerm,pl,1723,222,176,14380,758,14.749652294853965,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Conf,pl,1761,234,176,14380,758,15.097357440890125,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Global,pl,1726,228,175,14380,758,14.80528511821975,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text,pl,1629,216,163,14380,758,13.96383866481224,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text+Global,pl,1632,220,160,14380,758,13.991655076495132,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Conf,pl,1772,199,212,14380,758,15.180806675938804,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Global,pl,1714,195,207,14380,758,14.714881780250348,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text,pl,1594,189,176,14380,758,13.6230876216968,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text+Global,pl,1600,185,179,14380,758,13.657858136300417,POST_REVIEW_DIAGNOSTIC
TEST,303,Conf,tr,1442,167,123,12963,743,13.36110468255805,EXACT_REUSE
TEST,303,Global,tr,1415,168,117,12963,743,13.114248245005014,EXACT_REUSE
TEST,303,Text,tr,1290,164,115,12963,743,12.103679703772276,EXACT_REUSE
TEST,303,Text+Global,tr,1286,165,114,12963,743,12.072822649078146,EXACT_REUSE
TEST,303,ConfDupClean,tr,1442,167,123,12963,743,13.36110468255805,POST_REVIEW_DIAGNOSTIC
TEST,303,ConfPerm,tr,1415,168,117,12963,743,13.114248245005014,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Conf,tr,1439,169,118,12963,743,13.314819100516855,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Global,tr,1417,170,116,12963,743,13.137391036025612,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text,tr,1302,165,112,12963,743,12.180822340507598,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text+Global,tr,1301,164,111,12963,743,12.157679549487002,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Conf,tr,1442,148,139,12963,743,13.337961891537454,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Global,tr,1406,146,138,12963,743,13.037105608269691,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text,tr,1277,140,128,12963,743,11.918537375607498,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text+Global,tr,1264,137,132,12963,743,11.82596621152511,POST_REVIEW_DIAGNOSTIC
TEST,303,Conf,it,1132,296,135,20701,865,7.550359885995846,EXACT_REUSE
TEST,303,Global,it,1107,294,134,20701,865,7.415100719771992,EXACT_REUSE
TEST,303,Text,it,983,278,124,20701,865,6.6904980435727746,EXACT_REUSE
TEST,303,Text+Global,it,982,277,126,20701,865,6.6904980435727746,EXACT_REUSE
TEST,303,ConfDupClean,it,1132,296,135,20701,865,7.550359885995846,POST_REVIEW_DIAGNOSTIC
TEST,303,ConfPerm,it,1107,294,134,20701,865,7.415100719771992,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Conf,it,1143,304,127,20701,865,7.603497415583789,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Global,it,1103,303,127,20701,865,7.405439350756002,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text,it,997,289,117,20701,865,6.77745036471668,POST_REVIEW_DIAGNOSTIC
TEST,303,A_Text+Global,it,992,290,123,20701,865,6.78711173373267,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Conf,it,1133,258,153,20701,865,7.458576880343945,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Global,it,1103,248,173,20701,865,7.361963190184049,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text,it,970,241,134,20701,865,6.497270663252983,POST_REVIEW_DIAGNOSTIC
TEST,303,B_Text+Global,it,963,236,138,20701,865,6.458625187189025,POST_REVIEW_DIAGNOSTIC
CV27,101,Conf,ar,25491,2295,942,53778,10606,53.41961396853732,EXACT_REUSE
CV27,101,Global,ar,25416,2321,924,53778,10606,53.29502770649708,EXACT_REUSE
CV27,101,Text,ar,25002,2256,910,53778,10606,52.37829595745472,EXACT_REUSE
CV27,101,Text+Global,ar,24965,2264,908,53778,10606,52.32065156755551,EXACT_REUSE
CV27,101,ConfDupClean,ar,25491,2295,942,53778,10606,53.41961396853732,POST_REVIEW_DIAGNOSTIC
CV27,101,ConfPerm,ar,25416,2321,924,53778,10606,53.29502770649708,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Conf,ar,25463,2330,924,53778,10606,53.39915950760534,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Global,ar,25319,2349,906,53778,10606,53.133251515489604,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text,ar,24886,2274,909,53778,10606,52.19420580906691,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text+Global,ar,24819,2282,913,53778,10606,52.09193350440701,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Conf,ar,25477,2034,1057,53778,10606,53.12209453679944,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Global,ar,25147,2009,1063,53778,10606,52.47313027632117,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text,ar,25181,1882,1098,53778,10606,52.36527948231619,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text+Global,ar,25144,1866,1307,53778,10606,52.65536092826063,POST_REVIEW_DIAGNOSTIC
CV27,101,Conf,fa,34672,7215,7840,73608,10755,67.55651559613085,EXACT_REUSE
CV27,101,Global,fa,34652,7295,7814,73608,10755,67.60270622758395,EXACT_REUSE
CV27,101,Text,fa,33732,7230,7777,73608,10755,66.21427018802304,EXACT_REUSE
CV27,101,Text+Global,fa,33720,7255,7766,73608,10755,66.21698728399087,EXACT_REUSE
CV27,101,ConfDupClean,fa,34672,7216,7840,73608,10755,67.55787414411478,POST_REVIEW_DIAGNOSTIC
CV27,101,ConfPerm,fa,34653,7296,7814,73608,10755,67.60542332355179,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Conf,fa,34660,7306,7789,73608,10755,67.59455493968046,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Global,fa,34613,7346,7765,73608,10755,67.55243995217911,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text,fa,33819,7225,7771,73608,10755,66.31751983480056,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text+Global,fa,33815,7244,7755,73608,10755,66.31616128681665,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Conf,fa,34844,6479,8915,73608,10755,68.25073361591132,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Global,fa,34865,6347,8993,73608,10755,68.20590153244213,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text,fa,33667,6607,8158,73608,10755,65.7971959569612,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text+Global,fa,33740,6547,11165,73608,10755,69.90001086838387,POST_REVIEW_DIAGNOSTIC
CV27,101,Conf,pl,10157,1756,1109,75267,10096,17.30107484023543,EXACT_REUSE
CV27,101,Global,pl,9971,1755,1081,75267,10096,17.01542508669138,EXACT_REUSE
CV27,101,Text,pl,9008,1689,981,75267,10096,15.515431729708903,EXACT_REUSE
CV27,101,Text+Global,pl,8999,1670,984,75267,10096,15.482216642087502,EXACT_REUSE
CV27,101,ConfDupClean,pl,10157,1756,1109,75267,10096,17.30107484023543,POST_REVIEW_DIAGNOSTIC
CV27,101,ConfPerm,pl,9972,1754,1081,75267,10096,17.01542508669138,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Conf,pl,10137,1800,1073,75267,10096,17.285131598177156,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Global,pl,9961,1796,1054,75267,10096,17.020739500710803,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text,pl,9014,1704,983,75267,10096,15.545989610320593,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text+Global,pl,9008,1697,980,75267,10096,15.524731954242895,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Conf,pl,10092,1426,1323,75267,10096,17.060597605856483,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Global,pl,9836,1350,1310,75267,10096,16.60222939668115,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text,pl,8631,1250,1144,75267,10096,14.647853641037905,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text+Global,pl,8686,1233,1165,75267,10096,14.726241247824412,POST_REVIEW_DIAGNOSTIC
CV27,101,Conf,tr,12134,2621,742,67100,11874,23.09538002980626,EXACT_REUSE
CV27,101,Global,tr,11971,2649,713,67100,11874,22.85096870342772,EXACT_REUSE
CV27,101,Text,tr,11351,2632,654,67100,11874,21.81371087928465,EXACT_REUSE
CV27,101,Text+Global,tr,11327,2639,649,67100,11874,21.780923994038748,EXACT_REUSE
CV27,101,ConfDupClean,tr,12134,2621,742,67100,11874,23.09538002980626,POST_REVIEW_DIAGNOSTIC
CV27,101,ConfPerm,tr,11969,2650,713,67100,11874,22.849478390461996,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Conf,tr,12116,2649,723,67100,11874,23.081967213114755,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Global,tr,11941,2674,700,67100,11874,22.82414307004471,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text,tr,11104,2608,669,67100,11874,21.432190760059612,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text+Global,tr,11095,2613,659,67100,11874,21.411326378539492,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Conf,tr,12004,2275,921,67100,11874,22.652757078986586,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Global,tr,11812,2222,919,67100,11874,22.284649776453055,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text,tr,11362,2220,856,67100,11874,21.517138599105813,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text+Global,tr,11300,2187,1689,67100,11874,22.61698956780924,POST_REVIEW_DIAGNOSTIC
CV27,101,Conf,it,17994,2757,2174,149177,15183,15.367650509126742,EXACT_REUSE
CV27,101,Global,it,17869,2735,2166,149177,15183,15.263747092380193,EXACT_REUSE
CV27,101,Text,it,16364,2654,1962,149177,15183,14.06383021511359,EXACT_REUSE
CV27,101,Text+Global,it,16377,2636,1974,149177,15183,14.068522627482789,EXACT_REUSE
CV27,101,ConfDupClean,it,17994,2757,2174,149177,15183,15.367650509126742,POST_REVIEW_DIAGNOSTIC
CV27,101,ConfPerm,it,17873,2737,2165,149177,15183,15.267098815501049,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Conf,it,17962,2834,2098,149177,15183,15.346869825777432,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Global,it,17798,2800,2085,149177,15183,15.205427110077292,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text,it,16257,2680,1927,149177,15183,13.98607023870972,POST_REVIEW_DIAGNOSTIC
CV27,101,A_Text+Global,it,16363,2658,1938,149177,15183,14.049752978005992,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Conf,it,17916,2215,2877,149177,15183,15.42328911293296,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Global,it,17787,2105,3026,149177,15183,15.362958096757543,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text,it,15796,2013,2527,149177,15183,13.632128277147281,POST_REVIEW_DIAGNOSTIC
CV27,101,B_Text+Global,it,15988,2011,2751,149177,15183,13.909650951554195,POST_REVIEW_DIAGNOSTIC
CV27,202,Conf,ar,25720,2233,861,53778,10606,53.579530663096435,EXACT_REUSE
CV27,202,Global,ar,25554,2266,840,53778,10606,53.29316821004872,EXACT_REUSE
CV27,202,Text,ar,25199,2192,838,53778,10606,52.49172524080479,EXACT_REUSE
CV27,202,Text+Global,ar,25165,2200,834,53778,10606,52.435940347353934,EXACT_REUSE
CV27,202,ConfDupClean,ar,25719,2233,861,53778,10606,53.577671166648074,POST_REVIEW_DIAGNOSTIC
CV27,202,ConfPerm,ar,25553,2265,840,53778,10606,53.289449217152,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Conf,ar,25672,2268,847,53778,10606,53.52932425899066,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Global,ar,25472,2298,828,53778,10606,53.177879430250286,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Text,ar,25101,2193,839,53778,10606,52.31321358176206,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Text+Global,ar,25023,2208,835,53778,10606,52.18862731972182,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Conf,ar,25615,1979,1102,53778,10606,53.36011008218974,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Global,ar,25341,1921,1081,53778,10606,52.70370783591803,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Text,ar,25404,1849,995,53778,10606,52.527055673323666,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Text+Global,ar,25345,1846,1405,53778,10606,53.174160437353564,POST_REVIEW_DIAGNOSTIC
CV27,202,Conf,fa,34653,7156,5739,73608,10755,64.59623953918053,EXACT_REUSE
CV27,202,Global,fa,34591,7219,5705,73608,10755,64.55140745571134,EXACT_REUSE
CV27,202,Text,fa,33688,7162,5663,73608,10755,63.190142375828714,EXACT_REUSE
CV27,202,Text+Global,fa,33663,7184,5657,73608,10755,63.17791544397348,EXACT_REUSE
CV27,202,ConfDupClean,fa,34654,7155,5739,73608,10755,64.59623953918053,POST_REVIEW_DIAGNOSTIC
CV27,202,ConfPerm,fa,34589,7219,5705,73608,10755,64.5486903597435,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Conf,fa,34632,7232,5688,73608,10755,64.60167373111618,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Global,fa,34544,7279,5668,73608,10755,64.51880230409738,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Text,fa,33742,7171,5677,73608,10755,63.29475057059015,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Text+Global,fa,33746,7188,5662,73608,10755,63.30290185849364,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Conf,fa,34747,6474,6271,73608,10755,64.52016085208129,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Global,fa,34702,6267,6398,73608,10755,64.35034235409195,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Text,fa,33604,6559,6101,73608,10755,62.85186392783393,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Text+Global,fa,33639,6459,7336,73608,10755,64.44136506901424,POST_REVIEW_DIAGNOSTIC
CV27,202,Conf,pl,10107,1737,1024,75267,10096,17.096469900487598,EXACT_REUSE
CV27,202,Global,pl,9905,1721,989,75267,10096,16.76033321375902,EXACT_REUSE
CV27,202,Text,pl,8895,1651,880,75267,10096,15.180623646485179,EXACT_REUSE
CV27,202,Text+Global,pl,8890,1657,888,75267,10096,15.192581078028883,EXACT_REUSE
CV27,202,ConfDupClean,pl,10107,1737,1024,75267,10096,17.096469900487598,POST_REVIEW_DIAGNOSTIC
CV27,202,ConfPerm,pl,9905,1721,989,75267,10096,16.76033321375902,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Conf,pl,10096,1763,988,75267,10096,17.06856922688562,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Global,pl,9892,1747,962,75267,10096,16.741732764691033,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Text,pl,8942,1665,885,75267,10096,15.268311477805678,POST_REVIEW_DIAGNOSTIC
CV27,202,A_Text+Global,pl,8927,1660,888,75267,10096,15.245725218223125,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Conf,pl,10096,1391,1265,75267,10096,16.942351893924297,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Global,pl,9836,1308,1257,75267,10096,16.476012063719825,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Text,pl,8599,1187,1040,75267,10096,14.383461543571553,POST_REVIEW_DIAGNOSTIC
CV27,202,B_Text+Global,pl,8590,1178,1055,75267,10096,14.379475733056983,POST_REVIEW_DIAGNOSTIC
CV27,202,Conf,tr,11873,2476,773,67100,11874,22.536512667660208,EXACT_REUSE
CV27,202,Global,tr,11729,2535,743,67100,11874,22.365126676602088,EXACT_REUSE
CV27,202,Text,tr,11046,2524,671,67100,11874,21.22354694485842,EXACT_REUSE
