split,seed,strategy,lang,S,D,I,N,records,WER,label
DEV,101,A_Conf,it,501,133,53,8758,391,7.844256679607216,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Global,it,488,130,49,8758,391,7.6158940397351,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text,it,447,129,45,8758,391,7.090659968029231,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text+Global,it,446,128,43,8758,391,7.044987440054807,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Conf,it,504,99,67,8758,391,7.650148435715917,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Global,it,492,91,71,8758,391,7.4674583238182235,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text,it,411,124,54,8758,391,6.725279744233843,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text+Global,it,415,112,52,8758,391,6.611098424297785,POST_REVIEW_DIAGNOSTIC
DEV,202,Conf,ar,1329,95,29,5325,295,27.28638497652582,EXACT_REUSE
DEV,202,Global,ar,1311,93,28,5325,295,26.892018779342724,EXACT_REUSE
DEV,202,Text,ar,1249,87,27,5325,295,25.5962441314554,EXACT_REUSE
DEV,202,Text+Global,ar,1247,87,27,5325,295,25.558685446009388,EXACT_REUSE
DEV,202,ConfDupClean,ar,1329,95,29,5325,295,27.28638497652582,POST_REVIEW_DIAGNOSTIC
DEV,202,ConfPerm,ar,1311,93,28,5325,295,26.892018779342724,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Conf,ar,1325,96,29,5325,295,27.230046948356808,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Global,ar,1309,96,27,5325,295,26.892018779342724,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text,ar,1256,88,28,5325,295,25.76525821596244,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text+Global,ar,1256,87,27,5325,295,25.727699530516432,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Conf,ar,1316,90,29,5325,295,26.948356807511736,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Global,ar,1288,87,31,5325,295,26.4037558685446,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text,ar,1225,84,31,5325,295,25.164319248826292,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text+Global,ar,1224,84,32,5325,295,25.164319248826292,POST_REVIEW_DIAGNOSTIC
DEV,202,Conf,fa,2164,321,399,8170,369,35.299877600979194,EXACT_REUSE
DEV,202,Global,fa,2151,325,397,8170,369,35.165238678090574,EXACT_REUSE
DEV,202,Text,fa,2055,320,402,8170,369,33.99020807833537,EXACT_REUSE
DEV,202,Text+Global,fa,2054,320,400,8170,369,33.95348837209303,EXACT_REUSE
DEV,202,ConfDupClean,fa,2162,319,399,8170,369,35.250917992656056,POST_REVIEW_DIAGNOSTIC
DEV,202,ConfPerm,fa,2150,325,397,8170,369,35.152998776009795,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Conf,fa,2162,328,398,8170,369,35.348837209302324,POST_REVIEW_DIAGNOSTIC
