physical_gpu,partition,recording_index,repetition,system,split,lang,quintile,original_duration_seconds,processed_duration_seconds,elapsed_seconds,model_placement_seconds_excluded,allocator_cache_cleared_before_timer,peak_allocated_bytes,peak_reserved_bytes,actual_candidates,selected_index,body_tokens,PLL_target_tokens,source_run,external_processes_before,external_processes_after,external_GPU_memory_MiB_before,external_GPU_memory_MiB_after
2,0,54,2,B5,TEST,pl,3,10.74,10.74,1.3718662112951279,0.9373384928330779,True,873433600,937426944,1,0,65,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,0,Conf,TEST,pl,4,12.42,12.42,2.6628258246928453,0.018972404301166534,True,872952832,939524096,5,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,0,Global,TEST,pl,4,12.42,12.42,2.7534646689891815,0.01954779587686062,True,872952832,939524096,5,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,0,Text,TEST,pl,4,12.42,12.42,2.7379267970100045,0.2613170985132456,True,2206979584,2323644416,5,0,67,243,IR-COST-P0_attempt0,0,0,0,0
2,0,56,0,Text+Global,TEST,pl,4,12.42,12.42,2.8554581636562943,0.020287594757974148,True,2206979584,2323644416,5,0,67,243,IR-COST-P0_attempt0,0,0,0,0
2,0,56,0,B5,TEST,pl,4,12.42,12.42,1.3892103265970945,0.9336658883839846,True,873433600,939524096,1,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,1,Global,TEST,pl,4,12.42,12.42,2.7774048671126366,0.01972336508333683,True,872952832,939524096,5,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,1,Text,TEST,pl,4,12.42,12.42,2.7395937722176313,0.24993346445262432,True,2206979584,2323644416,5,0,67,243,IR-COST-P0_attempt0,0,0,0,0
2,0,56,1,Text+Global,TEST,pl,4,12.42,12.42,2.8577694026753306,0.05406603682786226,True,2206979584,2323644416,5,0,67,243,IR-COST-P0_attempt0,0,0,0,0
2,0,56,1,B5,TEST,pl,4,12.42,12.42,1.3917223485186696,0.9354292843490839,True,873433600,939524096,1,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,1,Conf,TEST,pl,4,12.42,12.42,2.632649307139218,0.02772750612348318,True,872952832,939524096,5,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,2,Text,TEST,pl,4,12.42,12.42,2.750984825193882,0.2607948975637555,True,2206979584,2323644416,5,0,67,243,IR-COST-P0_attempt0,0,0,0,0
2,0,56,2,Text+Global,TEST,pl,4,12.42,12.42,2.8586233016103506,0.020079652778804302,True,2206979584,2323644416,5,0,67,243,IR-COST-P0_attempt0,0,0,0,0
2,0,56,2,B5,TEST,pl,4,12.42,12.42,1.39120240136981,0.9241537135094404,True,873433600,939524096,1,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,2,Conf,TEST,pl,4,12.42,12.42,2.643732627853751,0.01898167748004198,True,872952832,939524096,5,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,56,2,Global,TEST,pl,4,12.42,12.42,2.7571690073236823,0.01906812470406294,True,872952832,939524096,5,0,67,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,0,Text,TEST,pl,4,13.74,13.74,3.3335123267024755,0.2294283974915743,True,2206979584,2323644416,5,0,83,322,IR-COST-P0_attempt0,0,0,0,0
2,0,58,0,Text+Global,TEST,pl,4,13.74,13.74,3.4273039950057864,0.020279099233448505,True,2206979584,2323644416,5,3,83,322,IR-COST-P0_attempt0,0,0,0,0
2,0,58,0,B5,TEST,pl,4,13.74,13.74,1.6862687366083264,0.927480785176158,True,873433600,941621248,1,0,83,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,0,Conf,TEST,pl,4,13.74,13.74,3.1706471806392074,0.019782901741564274,True,872952832,939524096,5,0,83,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,0,Global,TEST,pl,4,13.74,13.74,3.292067401111126,0.03304068651050329,True,872952832,939524096,5,0,83,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,1,Text+Global,TEST,pl,4,13.74,13.74,3.4297972144559026,0.22928927652537823,True,2206979584,2323644416,5,3,83,322,IR-COST-P0_attempt0,0,0,0,0
2,0,58,1,B5,TEST,pl,4,13.74,13.74,1.6996130188927054,0.9224053621292114,True,873433600,941621248,1,0,83,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,1,Conf,TEST,pl,4,13.74,13.74,3.1635807985439897,0.01903065200895071,True,872952832,939524096,5,0,83,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,1,Global,TEST,pl,4,13.74,13.74,3.282429274171591,0.023644933477044106,True,872952832,939524096,5,0,83,0,IR-COST-P0_attempt0,0,0,0,0
