comparison,estimate,CI95_low,CI95_high,CI98_75_low,CI98_75_high,family,family_size,unit,post_exposure
D,0.17197185471604115,0.14417744509385386,0.2005990831419547,0.13615995780741783,0.2090395616335421,POST_REVIEW_FIXED_PIPELINE_DIAGNOSTICS,4,WER percentage points,True
Global-ConfDupClean,-0.1827660865417755,-0.21048233092827112,-0.15581500403587756,-0.2188510255075046,-0.14965842803818608,POST_REVIEW_FIXED_PIPELINE_DIAGNOSTICS,4,WER percentage points,True
ConfPerm-Conf,-0.1834437617985074,-0.21099361361634178,-0.15655502304103983,-0.21930589506556367,-0.14973792491781734,POST_REVIEW_FIXED_PIPELINE_DIAGNOSTICS,4,WER percentage points,True
Global-ConfPerm,0.0010863851249069967,-0.00037269632465459774,0.002510477517491871,-0.0007699265264363486,0.0029020666271723622,POST_REVIEW_FIXED_PIPELINE_DIAGNOSTICS,4,WER percentage points,True
