split,seed,label,unit,strategy,lang,S,D,I,N,records,WER,cost_component,cost_seconds
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,579,76,64,5463,338,13.161266703276588,,
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,581,77,63,5463,338,13.197876624565257,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,it,499,95,66,8758,391,7.535967115779858,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,it,495,95,65,8758,391,7.478876455811829,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,it,650,150,94,8758,391,10.207810002283626,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,495,133,56,8758,391,7.810002283626399,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,492,129,54,8758,391,7.7072390956839465,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,it,486,127,52,8758,391,7.593057775747887,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,it,498,133,56,8758,391,7.844256679607216,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,it,360,72,40,8758,391,5.389358300981959,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,G,it,588,138,363,8758,391,12.434345741036767,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,it,499,102,66,8758,391,7.6158940397351,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,it,485,97,67,8758,391,7.410367663850194,,
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,433,137,50,8758,391,7.079241836035624,,
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,442,134,49,8758,391,7.136332496003654,,
DEV,101,EXACT_REUSE,macro WER percent,B5,MACRO,,,,,,20.059318782389376,,
DEV,101,EXACT_REUSE,macro WER percent,CD-seq,MACRO,,,,,,22.036515278656204,,
DEV,101,EXACT_REUSE,macro WER percent,Conf,MACRO,,,,,,20.058810980843848,,
DEV,101,EXACT_REUSE,macro WER percent,G,MACRO,,,,,,22.030929735706756,,
DEV,101,EXACT_REUSE,macro WER percent,Global,MACRO,,,,,,19.878788698382614,,
DEV,101,EXACT_REUSE,macro WER percent,Local,MACRO,,,,,,19.676673524155234,,
DEV,101,EXACT_REUSE,macro WER percent,MBR,MACRO,,,,,,20.03241417165004,,
DEV,101,EXACT_REUSE,macro WER percent,MWER-Conf,MACRO,,,,,,19.897541304551194,,
DEV,101,EXACT_REUSE,macro WER percent,MWER-Global,MACRO,,,,,,19.795462273471433,,
DEV,101,EXACT_REUSE,macro WER percent,Oracle6,MACRO,,,,,,16.709722377665916,,
DEV,101,EXACT_REUSE,macro WER percent,Shuffled,MACRO,,,,,,20.073561328253803,,
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text,MACRO,,,,,,18.650584620164857,,
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text+Global,MACRO,,,,,,18.66809208881695,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,ar,1315,86,32,5325,295,26.910798122065728,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,ar,1322,86,32,5325,295,27.04225352112676,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,ar,1394,96,31,5325,295,28.56338028169014,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,1329,95,29,5325,295,27.28638497652582,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,1311,93,28,5325,295,26.892018779342724,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,ar,1314,93,28,5325,295,26.948356807511736,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,ar,1329,95,29,5325,295,27.28638497652582,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,ar,1156,74,24,5325,295,23.549295774647888,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,ar,1381,94,38,5325,295,28.413145539906104,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,ar,1319,90,30,5325,295,27.023474178403756,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,ar,1313,87,29,5325,295,26.835680751173708,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,1249,87,27,5325,295,25.5962441314554,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,1247,87,27,5325,295,25.558685446009388,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,fa,2152,304,407,8170,369,35.04283965728274,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,fa,2166,302,412,8170,369,35.250917992656056,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,fa,2247,307,414,8170,369,36.32802937576499,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,2164,321,399,8170,369,35.299877600979194,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,2151,325,397,8170,369,35.165238678090574,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,fa,2153,327,397,8170,369,35.21419828641371,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,fa,2161,320,399,8170,369,35.250917992656056,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,fa,1946,270,373,8170,369,31.689106487148102,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,fa,2258,321,430,8170,369,36.82986536107711,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,fa,2144,303,415,8170,369,35.03059975520196,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,fa,2137,296,415,8170,369,34.85924112607099,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,2055,320,402,8170,369,33.99020807833537,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,2054,320,400,8170,369,33.95348837209303,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,pl,724,67,89,5938,338,14.81980464802964,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,pl,738,69,84,5938,338,15.00505220613001,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,pl,861,93,116,5938,338,18.01953519703604,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,732,82,80,5938,338,15.055574267430112,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,718,79,80,5938,338,14.769282586729538,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,pl,730,81,80,5938,338,15.00505220613001,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,pl,727,83,80,5938,338,14.988211519029976,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,pl,583,54,74,5938,338,11.973728528123948,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,pl,819,82,129,5938,338,17.34590771303469,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,pl,731,70,82,5938,338,14.87032670932974,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,pl,722,68,82,5938,338,14.68507915122937,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,668,79,77,5938,338,13.876726170427753,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,669,78,78,5938,338,13.893566857527787,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,tr,632,72,73,5463,338,14.222954420647996,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,tr,632,74,69,5463,338,14.186344499359326,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,tr,730,85,82,5463,338,16.41954969796815,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,636,85,63,5463,338,14.351089145158339,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,629,83,62,5463,338,14.168039538714991,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,tr,627,83,63,5463,338,14.149734578070657,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,tr,636,85,63,5463,338,14.351089145158339,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,tr,490,62,56,5463,338,11.129416071755445,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,tr,707,81,86,5463,338,15.998535603148452,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,tr,638,74,69,5463,338,14.296174263225334,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,tr,636,75,70,5463,338,14.296174263225334,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,569,80,58,5463,338,12.941607175544572,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,571,80,59,5463,338,12.996522057477577,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,it,520,92,69,8758,391,7.775747887645581,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,it,514,93,65,8758,391,7.672984699703129,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,it,670,125,104,8758,391,10.264900662251655,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,504,105,55,8758,391,7.581639643754282,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,512,103,54,8758,391,7.638730303722311,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,it,505,104,54,8758,391,7.570221511760676,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,it,506,106,55,8758,391,7.6158940397351,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,it,362,77,38,8758,391,5.446448960949988,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,it,568,93,98,8758,391,8.666362183146838,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,it,512,93,65,8758,391,7.650148435715917,,
DEV,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,it,510,92,66,8758,391,7.627312171728705,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,419,99,45,8758,391,6.428408312400092,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,417,96,45,8758,391,6.3713176524320625,,
DEV,202,EXACT_REUSE,macro WER percent,B5,MACRO,,,,,,19.754428947134336,,
DEV,202,EXACT_REUSE,macro WER percent,CD-seq,MACRO,,,,,,21.919079042942194,,
DEV,202,EXACT_REUSE,macro WER percent,Conf,MACRO,,,,,,19.91491312676955,,
DEV,202,EXACT_REUSE,macro WER percent,G,MACRO,,,,,,21.45076328006264,,
DEV,202,EXACT_REUSE,macro WER percent,Global,MACRO,,,,,,19.726661977320028,,
DEV,202,EXACT_REUSE,macro WER percent,Local,MACRO,,,,,,19.77751267797736,,
DEV,202,EXACT_REUSE,macro WER percent,MBR,MACRO,,,,,,19.83151058379506,,
DEV,202,EXACT_REUSE,macro WER percent,MWER-Conf,MACRO,,,,,,19.774144668375346,,
DEV,202,EXACT_REUSE,macro WER percent,MWER-Global,MACRO,,,,,,19.66069749268562,,
DEV,202,EXACT_REUSE,macro WER percent,Oracle6,MACRO,,,,,,16.757599164525075,,
DEV,202,EXACT_REUSE,macro WER percent,Shuffled,MACRO,,,,,,19.89849953462106,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text,MACRO,,,,,,18.56663877363264,,
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text+Global,MACRO,,,,,,18.55471607710797,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,ar,1296,83,39,5325,295,26.629107981220656,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,ar,1296,87,38,5325,295,26.685446009389672,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,ar,1383,91,37,5325,295,28.375586854460092,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,1303,90,34,5325,295,26.7981220657277,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,1298,90,33,5325,295,26.685446009389672,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,ar,1300,90,33,5325,295,26.72300469483568,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,ar,1302,90,34,5325,295,26.779342723004696,,
