split,seed,label,unit,strategy,lang,S,D,I,N,records,WER,cost_component,cost_seconds
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,ar,25411,2322,924,53778,10606,53.287589720703636,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,ar,22036,1597,806,53778,10606,45.44423370151363,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,G,ar,26455,2147,1567,53778,10606,56.09914835062665,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,ar,25441,2034,1066,53778,10606,53.071888132693665,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,ar,25321,2040,1055,53778,10606,52.839451076648444,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,25002,2256,910,53778,10606,52.37829595745472,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,24965,2264,908,53778,10606,52.32065156755551,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,fa,35073,6235,12374,73608,10755,72.92957287251386,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,fa,34843,6537,9039,73608,10755,68.4966308009999,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,fa,36091,6600,9632,73608,10755,71.08330616237366,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,34672,7215,7840,73608,10755,67.55651559613085,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,34652,7295,7814,73608,10755,67.60270622758395,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,fa,34648,7302,7811,73608,10755,67.60270622758395,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,fa,31432,5530,6561,73608,10755,59.12808390392349,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,G,fa,36237,6499,13605,73608,10755,76.5419519617433,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,fa,34821,6526,9062,73608,10755,68.48304532116074,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,fa,34763,6527,9054,73608,10755,68.39473970220628,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,33732,7230,7777,73608,10755,66.21427018802304,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,33720,7255,7766,73608,10755,66.21698728399087,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,pl,10144,1375,1671,75267,10096,17.524280229051243,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,pl,10175,1483,1289,75267,10096,17.201429577371226,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,pl,13626,1855,1931,75267,10096,23.13364422655347,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,10157,1756,1109,75267,10096,17.30107484023543,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,9971,1755,1081,75267,10096,17.01542508669138,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,pl,9982,1753,1078,75267,10096,17.023396707720515,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,pl,7203,972,897,75267,10096,12.053090996054047,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,G,pl,11246,1522,1799,75267,10096,19.35376725523802,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,pl,10109,1445,1309,75267,10096,17.08982688296332,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,pl,9957,1408,1304,75267,10096,16.832077803021246,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,9008,1689,981,75267,10096,15.515431729708903,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,8999,1670,984,75267,10096,15.482216642087502,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,tr,12073,2192,1795,67100,11874,23.934426229508198,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,tr,12060,2353,884,67100,11874,22.7973174366617,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,tr,15685,2515,1317,67100,11874,29.086438152011922,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,12134,2621,742,67100,11874,23.09538002980626,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,11971,2649,713,67100,11874,22.85096870342772,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,tr,11993,2659,713,67100,11874,22.89865871833085,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,tr,8616,1650,544,67100,11874,16.11028315946349,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,G,tr,13330,2298,1155,67100,11874,25.01192250372578,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,tr,12038,2278,928,67100,11874,22.71833084947839,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,tr,11891,2281,903,67100,11874,22.466467958271238,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,11351,2632,654,67100,11874,21.81371087928465,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,11327,2639,649,67100,11874,21.780923994038748,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,it,17983,2151,3118,149177,15183,15.586853201230753,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,it,17962,2276,2788,149177,15183,15.435355316168042,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,it,22543,2760,3965,149177,15183,19.61964646024521,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,17994,2757,2174,149177,15183,15.367650509126742,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,17869,2735,2166,149177,15183,15.263747092380193,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,it,17902,2738,2168,149177,15183,15.289220188098701,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,it,13060,1511,1787,149177,15183,10.965497362193904,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,G,it,20350,2307,9376,149177,15183,21.47314934607882,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,it,17904,2235,2845,149177,15183,15.407200841952848,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,it,17770,2209,2868,149177,15183,15.315363628441382,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,16364,2654,1962,149177,15183,14.06383021511359,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,16377,2636,1974,149177,15183,14.068522627482789,,
CV27,101,EXACT_REUSE,macro WER percent,B5,MACRO,,,,,,36.73808128722618,,
CV27,101,EXACT_REUSE,macro WER percent,CD-seq,MACRO,,,,,,40.106418893576134,,
CV27,101,EXACT_REUSE,macro WER percent,Conf,MACRO,,,,,,35.34804698876732,,
CV27,101,EXACT_REUSE,macro WER percent,G,MACRO,,,,,,39.69598788348251,,
CV27,101,EXACT_REUSE,macro WER percent,Global,MACRO,,,,,,35.20557496331607,,
CV27,101,EXACT_REUSE,macro WER percent,Local,MACRO,,,,,,35.22031431248753,,
CV27,101,EXACT_REUSE,macro WER percent,MBR,MACRO,,,,,,35.391226770537095,,
CV27,101,EXACT_REUSE,macro WER percent,MWER-Conf,MACRO,,,,,,35.354058405649795,,
CV27,101,EXACT_REUSE,macro WER percent,MWER-Global,MACRO,,,,,,35.16962003371772,,
CV27,101,EXACT_REUSE,macro WER percent,Oracle6,MACRO,,,,,,28.740237824629713,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text,MACRO,,,,,,33.99710779391698,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text+Global,MACRO,,,,,,33.973860423031084,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,ar,25782,1872,1503,53778,10606,54.21733794488453,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,ar,25607,2011,1084,53778,10606,53.371267060879916,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,ar,27626,2107,1520,53778,10606,58.11484250065082,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,25720,2233,861,53778,10606,53.579530663096435,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,25554,2266,840,53778,10606,53.29316821004872,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,ar,25560,2264,839,53778,10606,53.2987466993938,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,ar,22241,1529,713,53778,10606,45.52605154524155,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,ar,26689,2040,1324,53778,10606,55.883446762616686,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,ar,25584,1972,1105,53778,10606,53.29502770649708,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,ar,25480,1960,1089,53778,10606,53.049574175313325,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,25199,2192,838,53778,10606,52.49172524080479,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,25165,2200,834,53778,10606,52.435940347353934,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,fa,35047,6231,7408,73608,10755,66.14226714487556,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,fa,34782,6527,6196,73608,10755,64.53782197587219,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,fa,36147,6665,6732,73608,10755,67.30790131507445,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,34653,7156,5739,73608,10755,64.59623953918053,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,34591,7219,5705,73608,10755,64.55140745571134,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,fa,34597,7223,5703,73608,10755,64.56227583958265,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,fa,31331,5561,5339,73608,10755,57.37283990870557,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,fa,36163,6532,8673,73608,10755,69.78589283773503,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,fa,34764,6505,6279,73608,10755,64.59623953918053,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,fa,34685,6482,6282,73608,10755,64.46174328877296,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,33688,7162,5663,73608,10755,63.190142375828714,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,33663,7184,5657,73608,10755,63.17791544397348,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,pl,10123,1337,1405,75267,10096,17.09248408997303,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,pl,10140,1454,1219,75267,10096,17.023396707720515,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,pl,13612,1826,1678,75267,10096,22.74037758911608,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,10107,1737,1024,75267,10096,17.096469900487598,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,9905,1721,989,75267,10096,16.76033321375902,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,pl,9909,1720,988,75267,10096,16.76299042076873,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,pl,7155,913,784,75267,10096,11.760798224985718,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,pl,11325,1522,1677,75267,10096,19.29663730452921,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,pl,10113,1418,1246,75267,10096,16.975566981545697,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,pl,9986,1386,1242,75267,10096,16.759004610254163,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,8895,1651,880,75267,10096,15.180623646485179,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,8890,1657,888,75267,10096,15.192581078028883,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,tr,11843,2095,1053,67100,11874,22.341281669150522,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,tr,11858,2230,955,67100,11874,22.418777943368106,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,tr,15558,2390,1357,67100,11874,28.770491803278688,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,11873,2476,773,67100,11874,22.536512667660208,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,11729,2535,743,67100,11874,22.365126676602088,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,tr,11740,2544,740,67100,11874,22.390461997019376,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,tr,8452,1572,581,67100,11874,15.804769001490312,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,tr,13121,2236,1381,67100,11874,24.944858420268258,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,tr,11823,2171,991,67100,11874,22.332339791356183,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,tr,11691,2176,969,67100,11874,22.11028315946349,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,11046,2524,671,67100,11874,21.22354694485842,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,11064,2526,671,67100,11874,21.253353204172875,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,it,17927,2199,3304,149177,15183,15.706174544333242,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,it,17961,2321,2502,149177,15183,15.27313191711859,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,it,22473,2786,3462,149177,15183,19.252967950823518,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,17916,2751,2160,149177,15183,15.301956735957956,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,17792,2780,2120,149177,15183,15.211460211694833,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,it,17792,2783,2123,149177,15183,15.21548227943986,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,it,12953,1565,1731,149177,15183,10.892429798159233,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,G,it,19999,2296,5440,149177,15183,18.59200815139063,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,it,17889,2296,2562,149177,15183,15.248329166024254,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,it,17759,2267,2583,149177,15183,15.155821607888615,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,16251,2690,2015,149177,15183,14.04774194413348,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,16278,2692,2040,149177,15183,14.083940553838728,,
CV27,202,EXACT_REUSE,macro WER percent,B5,MACRO,,,,,,35.09990907864338,,
CV27,202,EXACT_REUSE,macro WER percent,CD-seq,MACRO,,,,,,39.23731623178871,,
CV27,202,EXACT_REUSE,macro WER percent,Conf,MACRO,,,,,,34.62214190127655,,
CV27,202,EXACT_REUSE,macro WER percent,G,MACRO,,,,,,37.70056869530796,,
CV27,202,EXACT_REUSE,macro WER percent,Global,MACRO,,,,,,34.4362991535632,,
CV27,202,EXACT_REUSE,macro WER percent,Local,MACRO,,,,,,34.445991447240885,,
CV27,202,EXACT_REUSE,macro WER percent,MBR,MACRO,,,,,,34.52487912099186,,
CV27,202,EXACT_REUSE,macro WER percent,MWER-Conf,MACRO,,,,,,34.48950063692075,,
CV27,202,EXACT_REUSE,macro WER percent,MWER-Global,MACRO,,,,,,34.307285368338505,,
CV27,202,EXACT_REUSE,macro WER percent,Oracle6,MACRO,,,,,,28.271377695716478,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text,MACRO,,,,,,33.226756030422116,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text+Global,MACRO,,,,,,33.22874612547358,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,ar,25862,1943,2243,53778,10606,55.87414928037487,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,ar,25622,2101,1118,53778,10606,53.6297370672022,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,ar,27647,2151,1514,53778,10606,58.224552791104166,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,25772,2320,1026,53778,10606,54.144817583398414,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,25654,2347,1004,53778,10606,53.934694484733534,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,ar,25651,2348,1002,53778,10606,53.92725649894009,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,ar,22356,1588,888,53778,10606,46.17501580571981,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,ar,26671,2112,1614,53778,10606,56.52311354085314,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,ar,25617,2061,1157,53778,10606,53.61858008851203,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,ar,25491,2058,1144,53778,10606,53.35453159284466,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,25230,2271,997,53778,10606,52.99192978541411,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,25199,2276,993,53778,10606,52.93614489196326,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,fa,35270,6282,14217,73608,10755,75.76486251494403,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,fa,35085,6609,9994,73608,10755,70.22062819258777,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,fa,36273,6647,10807,73608,10755,72.99070753179002,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,34942,7310,9268,73608,10755,69.99239213129007,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,34890,7398,9109,73608,10755,69.82529072926856,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,fa,34902,7398,9097,73608,10755,69.82529072926856,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,fa,31647,5548,8507,73608,10755,62.08835996087382,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,fa,36270,6609,17826,73608,10755,82.47065536354744,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,fa,35025,6601,10148,73608,10755,70.33746331920443,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,fa,34968,6594,10035,73608,10755,70.09700032605151,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,33962,7297,9122,73608,10755,68.44500597761113,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,33966,7323,9110,73608,10755,68.4694598413216,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,pl,10090,1391,1466,75267,10096,17.201429577371226,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,pl,10100,1494,1351,75267,10096,17.198772370361514,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,pl,13535,1810,1805,75267,10096,22.785550108281186,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,10147,1748,1181,75267,10096,17.372819429497657,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,9933,1750,1141,75267,10096,17.038011346273933,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,pl,9915,1754,1134,75267,10096,17.010110672671953,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,pl,7123,924,973,75267,10096,11.984003613801534,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,pl,11255,1510,1721,75267,10096,19.24615037134468,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,pl,10080,1430,1385,75267,10096,17.13234219511871,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,pl,9900,1430,1370,75267,10096,16.87326451167178,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,8932,1679,1036,75267,10096,15.474245021058366,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,8939,1674,1038,75267,10096,15.479559435077789,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,tr,11842,2122,1246,67100,11874,22.667660208643817,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,tr,11806,2283,922,67100,11874,22.371087928464977,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,tr,15604,2452,1339,67100,11874,28.90461997019374,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,11888,2556,765,67100,11874,22.66616989567809,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,11744,2580,726,67100,11874,22.429210134128166,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,tr,11760,2592,722,67100,11874,22.464977645305513,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,tr,8475,1598,565,67100,11874,15.853949329359166,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,tr,13078,2244,1212,67100,11874,24.640834575260804,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,tr,11757,2190,1042,67100,11874,22.338301043219076,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,tr,11669,2189,943,67100,11874,22.05812220566319,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,11149,2551,687,67100,11874,21.44113263785395,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,11125,2556,679,67100,11874,21.400894187779432,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,it,18010,2181,2948,149177,15183,15.511104258699397,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,it,18023,2310,2609,149177,15183,15.379046367737654,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,it,22544,2799,3464,149177,15183,19.31061758850225,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,18013,2797,2235,149177,15183,15.448091864027296,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,17855,2777,2197,149177,15183,15.3032974252063,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,it,17875,2775,2201,149177,15183,15.318045006938068,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,it,13066,1534,1800,149177,15183,10.993651836409098,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,it,20228,2369,7603,149177,15183,20.24440764997285,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,it,17974,2286,2724,149177,15183,15.407200841952848,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,it,17787,2233,2694,149177,15183,15.226207793426601,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,16438,2716,2035,149177,15183,14.203932241565388,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,16474,2693,2047,149177,15183,14.220690857169672,,
CV27,303,EXACT_REUSE,macro WER percent,B5,MACRO,,,,,,37.403841168006664,,
CV27,303,EXACT_REUSE,macro WER percent,CD-seq,MACRO,,,,,,40.443209597974274,,
CV27,303,EXACT_REUSE,macro WER percent,Conf,MACRO,,,,,,35.92485818077831,,
CV27,303,EXACT_REUSE,macro WER percent,G,MACRO,,,,,,40.625032300195784,,
CV27,303,EXACT_REUSE,macro WER percent,Global,MACRO,,,,,,35.7061008239221,,
CV27,303,EXACT_REUSE,macro WER percent,Local,MACRO,,,,,,35.70913611062483,,
CV27,303,EXACT_REUSE,macro WER percent,MBR,MACRO,,,,,,35.75985438527083,,
CV27,303,EXACT_REUSE,macro WER percent,MWER-Conf,MACRO,,,,,,35.76677749760142,,
CV27,303,EXACT_REUSE,macro WER percent,MWER-Global,MACRO,,,,,,35.52182528593154,,
CV27,303,EXACT_REUSE,macro WER percent,Oracle6,MACRO,,,,,,29.418996109232683,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text,MACRO,,,,,,34.51124913270059,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,macro WER percent,Text+Global,MACRO,,,,,,34.50134984266235,,
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,0.9917305493727326
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,1.048426119
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,3.8851866954937577
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,3.885027824000005
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,0.9944836217910051
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,0.9944578329999998
