corpus,lang,Conf,Global,Text,Text+Global,Global-Conf,Local-Global,Text-Global,Text+Global-Text
FLEURS,ar,26.61837558802714333333333333,26.510136963490280,25.315349069564132,25.27788185337829366666666667,-0.10823862453686333333333333,0.012489072061945,-1.194787893926148,-0.03746721618583833333333333
FLEURS,fa,32.10858648635211133333333333,32.048923581763038,30.96339017882298333333333333,30.946817149770463,-0.05966290458907333333333333,0.003314605810504,-1.08553340294005466666666667,-0.01657302905252033333333333
FLEURS,pl,15.16226240148354233333333333,14.944367176634215,14.03569772832637933333333333,14.01947148817802466666666667,-0.21789522484932733333333333,0.009272137227630,-0.90866944830783566666666667,-0.01622624014835466666666666
FLEURS,tr,13.335390470312942,13.15281956337267566666666667,12.07796549152716766666666667,12.093394018874232,-0.18257090694026633333333333,0.05657126693923766666666666,-1.07485407184550800000000000,0.01542852734706433333333333
FLEURS,it,7.465017793021271333333333333,7.328148398628085833333333333,6.659903708355473866666666667,6.6711753055407952,-0.136869394393185500000000000,-0.001610228169331666666666666,-0.668244690272611966666666666,0.011271597185321333333333333
CV27,ar,53.71465407167738966666666667,53.507630133759778,52.62065032789120666666666667,52.56424560229090133333333333,-0.20702393791761166666666667,-0.00309916074726933333333333,-0.88697980586857133333333333,-0.05640472560030533333333334
CV27,fa,67.38171575553381666666666667,67.32646813752128333333333333,65.949806180487628,65.95478752309531666666666667,-0.05524761801253333333333334,0.00362279462377000000000000,-1.37666195703365533333333333,0.00498134260768866666666667
CV27,pl,17.25678805674022833333333333,16.93792321557477766666666667,15.39010013241748266666666667,15.384785718398058,-0.31886484116545066666666666,-0.00575728185437833333333334,-1.54782308315729500000000000,-0.00531441401942466666666667
CV27,tr,22.76602086438151933333333333,22.54843517138599133333333333,21.49279682066567333333333333,21.47839046199701833333333333,-0.21758569299552800000000000,0.03626428216592166666666667,-1.05563835072031800000000000,-0.01440635866865500000000000
CV27,it,15.372566369703998,15.25950157642710866666666667,14.10516813360415266666666667,14.124384679497063,-0.11306479327688933333333333,0.01474758173176766666666666,-1.15433344282295600000000000,0.01921654589291033333333333
