split,seed,label,unit,strategy,lang,S,D,I,N,records,WER,cost_component,cost_seconds
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,1854,142,71,8007,428,25.814911952041964,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,1840,144,71,8007,428,25.665043087298614,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,1749,142,70,8007,428,24.49107031347571,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,1747,142,70,8007,428,24.466092169351818,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,5073,761,764,20113,871,32.80465370655795,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,5057,763,762,20113,871,32.72510316710585,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,4862,754,755,20113,871,31.67603042808134,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,4855,757,754,20113,871,31.65117088450256,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,1763,226,183,14380,758,15.104311543810848,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,1724,222,176,14380,758,14.756606397774688,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,1621,215,162,14380,758,13.894297635605007,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,1621,216,163,14380,758,13.908205841446453,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,1442,167,123,12963,743,13.36110468255805,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,1415,168,117,12963,743,13.114248245005014,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,1290,164,115,12963,743,12.103679703772276,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,1286,165,114,12963,743,12.072822649078146,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,1132,296,135,20701,865,7.550359885995846,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,1107,294,134,20701,865,7.415100719771992,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,983,278,124,20701,865,6.6904980435727746,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,982,277,126,20701,865,6.6904980435727746,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,25491,2295,942,53778,10606,53.41961396853732,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,25416,2321,924,53778,10606,53.29502770649708,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,25002,2256,910,53778,10606,52.37829595745472,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,24965,2264,908,53778,10606,52.32065156755551,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,34672,7215,7840,73608,10755,67.55651559613085,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,34652,7295,7814,73608,10755,67.60270622758395,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,33732,7230,7777,73608,10755,66.21427018802304,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,33720,7255,7766,73608,10755,66.21698728399087,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,10157,1756,1109,75267,10096,17.30107484023543,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,9971,1755,1081,75267,10096,17.01542508669138,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,9008,1689,981,75267,10096,15.515431729708903,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,8999,1670,984,75267,10096,15.482216642087502,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,12134,2621,742,67100,11874,23.09538002980626,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,11971,2649,713,67100,11874,22.85096870342772,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,11351,2632,654,67100,11874,21.81371087928465,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,11327,2639,649,67100,11874,21.780923994038748,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,17994,2757,2174,149177,15183,15.367650509126742,,
CV27,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,17869,2735,2166,149177,15183,15.263747092380193,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,16364,2654,1962,149177,15183,14.06383021511359,,
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,16377,2636,1974,149177,15183,14.068522627482789,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,25720,2233,861,53778,10606,53.579530663096435,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,25554,2266,840,53778,10606,53.29316821004872,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,25199,2192,838,53778,10606,52.49172524080479,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,25165,2200,834,53778,10606,52.435940347353934,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,34653,7156,5739,73608,10755,64.59623953918053,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,34591,7219,5705,73608,10755,64.55140745571134,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,33688,7162,5663,73608,10755,63.190142375828714,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,33663,7184,5657,73608,10755,63.17791544397348,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,10107,1737,1024,75267,10096,17.096469900487598,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,9905,1721,989,75267,10096,16.76033321375902,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,8895,1651,880,75267,10096,15.180623646485179,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,8890,1657,888,75267,10096,15.192581078028883,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,11873,2476,773,67100,11874,22.536512667660208,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,11729,2535,743,67100,11874,22.365126676602088,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,11046,2524,671,67100,11874,21.22354694485842,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,11064,2526,671,67100,11874,21.253353204172875,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,17916,2751,2160,149177,15183,15.301956735957956,,
CV27,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,17792,2780,2120,149177,15183,15.211460211694833,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,16251,2690,2015,149177,15183,14.04774194413348,,
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,16278,2692,2040,149177,15183,14.083940553838728,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,25772,2320,1026,53778,10606,54.144817583398414,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,25654,2347,1004,53778,10606,53.934694484733534,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,25230,2271,997,53778,10606,52.99192978541411,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,25199,2276,993,53778,10606,52.93614489196326,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,34942,7310,9268,73608,10755,69.99239213129007,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,34890,7398,9109,73608,10755,69.82529072926856,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,33962,7297,9122,73608,10755,68.44500597761113,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,33966,7323,9110,73608,10755,68.4694598413216,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,10147,1748,1181,75267,10096,17.372819429497657,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,9933,1750,1141,75267,10096,17.038011346273933,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,8932,1679,1036,75267,10096,15.474245021058366,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,8939,1674,1038,75267,10096,15.479559435077789,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,11888,2556,765,67100,11874,22.66616989567809,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,11744,2580,726,67100,11874,22.429210134128166,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,11149,2551,687,67100,11874,21.44113263785395,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,11125,2556,679,67100,11874,21.400894187779432,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,18013,2797,2235,149177,15183,15.448091864027296,,
CV27,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,17855,2777,2197,149177,15183,15.3032974252063,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,16438,2716,2035,149177,15183,14.203932241565388,,
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,16474,2693,2047,149177,15183,14.220690857169672,,
